Date,Value
1953-06-30,225.24
1953-03-31,246.26
1952-12-31,245.81
1952-09-30,233.91
1952-06-30,231.87
1952-03-31,228.18
1951-12-31,222.65
1951-09-30,226.74
1951-06-30,209.71
1951-03-31,211.3
1950-12-31,199.11
1950-09-30,197.09
1950-06-30,198.45
1950-03-31,185.29
1949-12-31,176.64
1949-09-30,163.35
1949-06-30,147.32
1949-03-31,157.89
1948-12-31,158.86
1948-09-30,162.13
1948-06-30,175.9
1948-03-31,154.02
1947-12-31,161.89
1947-09-30,165.03
1947-06-30,170.01
1947-03-31,174.47
1946-12-31,177.36
1946-09-30,186.43
1946-06-30,250.42
1946-03-31,241.43
1945-12-31,239.99
1945-09-30,220.57
1945-06-30,210.12
1945-03-31,197.24
1944-12-31,185.49
1944-09-30,179.42
1944-06-30,181.44
1944-03-31,175.27
1943-12-31,166.29
1943-09-30,173.67
1943-06-30,174.27
1943-03-31,162.21
1942-12-31,141.98
1942-09-30,132.59
1942-06-30,128.8
1942-03-31,128.85
1941-12-31,142.44
1941-09-30,170.92
1941-06-30,167.34
1941-03-31,176.6
1940-12-31,188.22
1940-09-30,191.37
1940-06-30,172.85
1940-03-31,218.73
1939-12-31,222.69
1939-09-30,228.26
1939-06-30,208.75
1939-03-31,224.66
1938-12-31,228.45
1938-09-30,210.03
1938-06-30,182.5
1938-03-31,184.29
1937-12-31,192.88
1937-09-30,248.07
1937-06-30,273.74
1937-03-31,321.08
1936-12-31,307.13
1936-09-30,288.94
1936-06-30,268.29
1936-03-31,273.38
1935-12-31,238.16
1935-09-30,213.59
1935-06-30,186.18
1935-03-31,154.72
1934-12-31,174.17
1934-09-30,164.57
1934-06-30,186.96
1934-03-31,203.53
1933-12-31,190.37
1933-09-30,202.01
1933-06-30,206.19
1933-03-31,124.62
1932-12-31,131.21
1932-09-30,155.36
1932-06-30,88.4
1932-03-31,148.7
1931-12-31,145.7
1931-09-30,198.77
1931-06-30,231.51
1931-03-31,283.22
1930-12-31,242.8
1930-09-30,315.5
1930-06-30,322.85
1930-03-31,357.03
1929-12-31,313.58
1929-09-30,456.0
1929-06-30,385.43
1929-03-31,377.02
1928-12-31,341.21
1928-09-30,308.42
1928-06-30,280.34
1928-03-31,268.99
1927-12-31,254.37
1927-09-30,246.79
1927-06-30,213.23
1927-03-31,202.07
1926-12-31,192.09
1926-09-30,191.84
1926-06-30,172.44
1926-03-31,167.22
1925-12-31,175.44
1925-09-30,163.9
1925-06-30,155.54
1925-03-31,151.37
1924-12-31,148.02
1924-09-30,136.34
1924-06-30,127.95
1924-03-31,128.23
1923-12-31,124.56
1923-09-30,119.42
1923-06-30,123.65
1923-03-31,141.47
1922-12-31,130.94
1922-09-30,137.56
1922-06-30,127.53
1922-03-31,116.81
1921-12-31,106.5
1921-09-30,95.2
1921-06-30,93.8
1921-03-31,94.76
1920-12-31,88.47
1920-09-30,99.18
1920-06-30,95.51
1920-03-31,110.92
1919-12-31,118.95
1919-09-30,127.58
1919-06-30,137.35
1919-03-31,124.79
1918-12-31,120.67
1918-09-30,121.04
1918-06-30,127.73
1918-03-31,131.06
1917-12-31,125.1
1917-09-30,153.88
1917-06-30,175.26
1917-03-31,195.54
1916-12-31,212.93
1916-09-30,219.8
1916-06-30,218.43
1916-03-31,220.11
1915-12-31,231.97
1915-09-30,216.1
1915-06-30,200.63
1915-03-31,192.72
1914-12-31,183.41
1914-09-30,189.77
1914-06-30,206.98
1914-03-31,211.81
1913-12-31,202.64
1913-09-30,214.99
1913-06-30,208.83
1913-03-31,226.32
1912-12-31,243.72
1912-09-30,253.58
1912-06-30,251.25
1912-03-31,248.83
1911-12-31,253.99
1911-09-30,236.75
1911-06-30,278.54
1911-03-31,259.84
1910-12-31,247.12
1910-09-30,231.51
1910-06-30,231.67
1910-03-31,248.79
1909-12-31,259.86
1909-09-30,267.25
1909-06-30,262.21
1909-03-31,248.69
1908-12-31,251.76
1908-09-30,235.33
1908-06-30,222.35
1908-03-31,202.28
1907-12-31,189.24
1907-09-30,203.43
1907-06-30,214.08
1907-03-31,235.4
1906-12-31,277.41
1906-09-30,295.32
1906-06-30,273.83
1906-03-31,284.47
1905-12-31,283.88
1905-09-30,280.96
1905-06-30,261.78
1905-03-31,272.51
1904-12-31,245.49
1904-09-30,222.82
1904-06-30,202.81
1904-03-31,195.13
1903-12-31,204.68
1903-09-30,196.94
1903-06-30,221.23
1903-03-31,243.31
1902-12-31,237.02
1902-09-30,272.68
1902-06-30,259.12
1902-03-31,261.61
1901-12-31,250.78
1901-09-30,258.5
1901-06-30,284.88
1901-03-31,248.73
1900-12-31,227.53
1900-09-30,187.41
1900-06-30,191.56
1900-03-31,197.47
1899-12-31,192.06
1899-09-30,210.97
1899-06-30,214.27
1899-03-31,232.09
1898-12-31,210.65
1898-09-30,199.06
1898-06-30,188.66
1898-03-31,173.37
1897-12-31,179.76
1897-09-30,185.67
1897-06-30,171.37
1897-03-31,163.22
1896-12-31,159.7
1896-09-30,160.94
1896-06-30,173.38
1896-03-31,168.03
1895-12-31,161.07
1895-09-30,177.35
1895-06-30,168.26
1895-03-31,160.74
1894-12-31,164.96
1894-09-30,164.84
1894-06-30,166.49
1894-03-31,173.01
1893-12-31,157.88
1893-09-30,152.34
1893-06-30,156.59
1893-03-31,171.58
1892-12-31,182.49
1892-09-30,188.43
1892-06-30,198.34
1892-03-31,196.97
1891-12-31,181.32
1891-09-30,176.53
1891-06-30,156.72
1891-03-31,151.73
1890-12-31,146.76
1890-09-30,165.74
1890-06-30,182.41
1890-03-31,174.87
1889-12-31,171.9
1889-09-30,179.79
1889-06-30,179.18
1889-03-31,167.7
1888-12-31,156.46
1888-09-30,167.61
1888-06-30,158.04
1888-03-31,154.63
1887-12-31,160.42
1887-09-30,171.64
1887-06-30,180.75
1887-03-31,176.64
1886-12-31,182.24
1886-09-30,180.12
1886-06-30,175.96
1886-03-31,165.58
1885-12-31,160.22
1885-09-30,148.35
1885-06-30,137.19
1885-03-31,134.95
1884-12-31,132.11
1884-09-30,133.59
1884-06-30,127.02
1884-03-31,144.72
1883-12-31,145.82
1883-09-30,151.0
1883-06-30,154.24
1883-03-31,145.07
1882-12-31,147.34
1882-09-30,152.99
1882-06-30,135.57
1882-03-31,141.71
1881-12-31,148.8
1881-09-30,154.74
1881-06-30,174.39
1881-03-31,165.38
1880-12-31,154.77
1880-09-30,140.08
1880-06-30,130.8
1880-03-31,132.39
1879-12-31,127.84
1879-09-30,125.57
1879-06-30,123.37
1879-03-31,111.1
1878-12-31,106.3
1878-09-30,103.64
1878-06-30,102.68
1878-03-31,91.34
1877-12-31,86.13
1877-09-30,84.19
1877-06-30,68.19
1877-03-31,78.48
1876-12-31,83.93
1876-09-30,90.47
1876-06-30,103.66
1876-03-31,104.76
1875-12-31,100.68
1875-09-30,98.96
1875-06-30,99.18
1875-03-31,100.51
1874-12-31,99.41
1874-09-30,96.97
1874-06-30,95.26
1874-03-31,96.37
1873-12-31,91.46
1873-09-30,92.11
1873-06-30,99.93
1873-03-31,97.35
1872-12-31,98.75
1872-09-30,95.75
1872-06-30,99.23
1872-03-31,98.93
1871-12-31,94.44
1871-09-30,100.15
1871-06-30,100.56
1871-03-31,89.17
